"sample","n","outcome","fs_coef","ols_coef","ols_se","iv_coef","iv_se"
"Full Sample",9915,"net_tfa",0.69704261458457,14520.1314741381,1550.56047739733,13086.8491619585,1921.50905754394
"Full Sample",9915,"net_nifa",0.69704261458457,676.651832766856,1433.74305488439,-219.503348228176,1803.11032858293
"Full Sample",9915,"tw",0.69704261458457,10693.9233629348,2387.90446798319,9258.7410423595,3034.91874601273
"<$10K",638,"net_tfa",0.710734175082225,9843.20590729124,4920.94297703411,9148.51563191327,4913.91998105288
"<$10K",638,"net_nifa",0.710734175082225,3955.98923477799,3419.44369444359,3270.81456516506,3482.55752492889
"<$10K",638,"tw",0.710734175082225,20463.6305322147,11310.5979844022,17224.1753811506,11518.2973953181
"$10-20K",1948,"net_tfa",0.650310411857075,5591.28997657203,1462.88585026879,5352.2315522758,1628.65135796864
"$10-20K",1948,"net_nifa",0.650310411857075,-594.728112901332,1216.49828452417,-918.20226610616,1396.51356201002
"$10-20K",1948,"tw",0.650310411857075,4729.27227027952,2265.34190136108,6137.93953689916,3217.6831509087
"$20-30K",2074,"net_tfa",0.627461098760836,7083.49236444992,1314.74838970588,4143.4783913786,2268.03717310081
"$20-30K",2074,"net_nifa",0.627461098760836,654.029908942595,1064.12193887827,-2647.29435764641,2098.42294027266
"$20-30K",2074,"tw",0.627461098760836,5461.74744599342,3118.92691313816,0.1826337133372,4501.78369231802
"$30-40K",1712,"net_tfa",0.671736643068993,12135.5267026828,2512.97714717549,10273.4167485319,2880.2876614242
"$30-40K",1712,"net_nifa",0.671736643068993,1424.02122924156,2259.31215933088,-83.8260180300897,2607.82425621816
"$30-40K",1712,"tw",0.671736643068993,10682.588988288,3891.28630001885,4881.00560391778,5102.87336863024
"$40-50K",1204,"net_tfa",0.723481102687637,12858.0191362136,2470.36399358908,9980.20064553117,3740.64927830875
"$40-50K",1204,"net_nifa",0.723481102687637,465.591909078999,2231.60609107442,-2173.85686716054,3527.83528429232
"$40-50K",1204,"tw",0.723481102687637,13470.214248442,4905.32428944113,13204.5089005338,6675.15609134577
"$50-75K",1572,"net_tfa",0.743963964397743,20799.6172872005,3010.14308868726,21920.1083918394,3444.14268248839
"$50-75K",1572,"net_nifa",0.743963964397743,1752.61906810913,2742.1885494028,3569.42027888228,3118.50438675922
"$50-75K",1572,"tw",0.743963964397743,12280.9257619583,5131.56777467234,12201.8566547519,6718.3204142383
">$75K",767,"net_tfa",0.830773012055523,23103.8411824202,10416.9875829492,24012.5650906821,12895.2433979528
">$75K",767,"net_nifa",0.830773012055523,-7452.95926419808,10047.1913412416,-5591.62107690473,12518.1770633858
">$75K",767,"tw",0.830773012055523,5514.38037234939,13645.1466992268,10469.9732083727,17173.6574970782
